"year","M01","M02","M03","M04","M05","M06","M07","M08","M09","M10","M11","M12","Mleap","leap","J12","Z12","J01","Z01","J02","Z02","J03","Z03","J04","Z04","J05","Z05","J06","Z06","J07","Z07","J08","Z08","J09","Z09","J10","Z10","J11","Z11"
-105,46,76,105,135,164,194,223,253,282,312,342,371,0,0,9,24,40,55,70,85,100,116,131,146,161,176,192,207,222,237,253,268,283,298,313,329,344,359
-104,36,65,95,124,154,183,213,242,272,331,360,390,301,9,9,25,40,55,70,85,101,116,131,146,162,177,192,207,222,238,253,268,283,298,314,329,344,359
-103,53,83,113,142,171,200,230,259,289,318,348,377,0,0,9,24,39,54,69,85,100,115,130,146,161,176,191,207,222,237,252,267,283,298,313,328,344,359
-102,42,71,101,131,160,190,219,249,278,308,337,367,0,0,9,24,39,55,70,85,100,116,131,146,161,176,192,207,222,237,252,268,283,298,313,329,344,359
-101,31,61,90,120,149,179,238,268,297,327,356,386,208,6,9,24,40,55,70,85,101,116,131,146,161,177,192,207,222,238,253,268,283,298,314,329,344,359
-100,50,80,109,139,168,198,227,257,286,316,346,375,0,0,9,25,40,55,70,86,101,116,131,146,162,177,192,207,223,238,253,268,283,299,314,329,344,360
-99,39,68,98,127,157,186,216,245,275,304,334,363,0,0,9,24,39,54,70,85,100,115,130,146,161,176,191,207,222,237,252,267,283,298,313,328,344,359
-98,28,57,87,146,176,205,235,264,294,323,353,382,117,3,9,24,39,55,70,85,100,116,131,146,161,176,192,207,222,237,252,268,283,298,313,329,344,359
-97,47,76,106,135,165,195,224,254,283,313,342,372,0,0,9,24,40,55,70,85,101,116,131,146,161,177,192,207,222,238,253,268,283,298,314,329,344,359
-96,36,66,95,125,154,184,213,243,272,302,332,361,391,12,9,25,40,55,70,86,101,116,131,146,162,177,192,207,223,238,253,268,283,299,314,329,344,360
-95,54,84,113,143,172,202,231,261,290,320,349,379,0,0,9,24,39,54,70,85,100,115,130,146,161,176,191,207,222,237,252,267,283,298,313,328,344,359
-94,43,73,103,132,162,191,221,250,280,309,339,368,0,0,9,24,39,55,70,85,100,116,131,146,161,176,192,207,222,237,252,268,283,298,313,329,344,359
-93,33,62,92,121,151,181,210,240,269,328,358,387,299,9,9,24,40,55,70,85,101,116,131,146,161,177,192,207,222,238,253,268,283,298,314,329,344,359
-92,52,81,111,140,170,199,229,258,288,318,347,377,0,0,9,25,40,55,70,86,101,116,131,146,162,177,192,207,223,238,253,268,283,299,314,329,344,360
-91,40,70,99,129,158,188,217,247,276,306,335,365,0,0,9,24,39,54,70,85,100,115,130,146,161,176,191,207,222,237,252,267,283,298,313,328,344,359
-90,30,59,89,118,148,207,236,266,295,325,354,384,177,5,9,24,39,55,70,85,100,116,131,146,161,176,192,207,222,237,252,268,283,298,313,329,344,359
